verse:0,prose:1
Filename,Label
texts/latin_latinlibrary_prose_tertullian_tertullian.adsenatorem.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.anima.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.apol.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.baptismo.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.carne.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.castitatis.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.corona.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.cultu1.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.cultu2.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.deiudicio.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.fuga.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.genesis.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.gentium.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.haereses.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.herm.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.idololatria.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.ieiunio.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.iudaeos.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.marcionem1.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.marcionem2.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.marcionem3.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.marcionem4.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.marcionem5.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.martyres.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.monog.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.nationes1.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.nationes2.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.oratione.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.paen.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.pallio.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.patientia.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.praescrip.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.praxean.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.propheta.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.pudicitia.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.resurrectione.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.scapulam.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.scorpiace.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.spect.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.testimonia.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.uxor1.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.uxor2.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.valentinianos.txt,1
texts/latin_latinlibrary_prose_tertullian_tertullian.virginibus.txt,1
texts/latin_latinlibrary_verse_ovid_ovid.amor1.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.amor2.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.amor3.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.artis1.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.artis2.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.artis3.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.fasti1.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.fasti2.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.fasti3.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.fasti4.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.fasti5.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.fasti6.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.her1.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.her10.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.her11.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.her12.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.her13.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.her14.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.her15.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.her16.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.her17.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.her18.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.her19.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.her2.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.her20.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.her21.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.her3.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.her4.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.her5.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.her6.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.her7.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.her8.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.her9.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.ibis.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.met1.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.met10.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.met11.txt,0
